,airport_code,airport_full_name
0,OCH,"A L Mangham Jr. Regional Airport  Nacogdoches, TX"
1,AYE,AAF Heliport Airport  Fort Devens
2,ARA,Acadiana Regional Airport  New Iberia
3,MFV,Accomack County Airport  Melfa
4,ADK,Adak Island Ns Airport  Adak Island
5,LIT,"Adams Field Airport  Little Rock, AR"
6,ADS,Addison Airport  Dallas
7,SLK,Adirondack Airport  Saranac Lake
8,INS,Af Aux Airport  Indian Springs
9,HST,AFB Airport  Homestead
10,MUO,AFB Airport  Mountain Home
11,OHC,AFS Airport  Northeast Cape
12,PML,AFS Airport  Port Moller
13,ANW,Ainsworth Airport  Ainsworth
14,AKK,Akhiok SPB Airport  Akhiok
15,AKI,Akiak Airport  Akiak
16,CAK,"Akron/canton Regional Airport  Akron/Canton, OH"
17,AUK,Alakanuk Airport  Alakanuk
18,CVO,Albany Airport  Albany
19,ALB,Albany International Airport  Albany
20,CHO,Albemarle Airport  Charlottesville
21,OAJ,Albert J Ellis Airport  Jacksonville
22,AEL,Albert Lea Airport  Albert Lea
23,FEP,Albertus Airport  Freeport
24,ABQ,Albuquerque International Airport  Albuquerque
25,WKK,Aleknagik Airport  Aleknagik
26,AED,Aleneva Airport  Aleneva
27,ISW,Alexander Field Airport  Wisconsin Rapids
28,AXN,Alexandria Airport  Alexandria
29,AXB,Alexandria Bay Airport  Alexandria Bay
30,AEX,"Alexandria International Airport  Alexandria, LA"
31,AXG,Algona Airport  Algona
32,ALI,Alice International Airport  Alice
33,ALZ,Alitak SPB Airport  Alitak
34,AET,Allakaket Airport  Allakaket
35,AGC,Allegheny County Airport  Pittsburgh
36,AOH,Allen County Airport  Lima
37,AIA,Alliance Airport  Alliance
38,APN,Alpena County Regional Airport  Alpena
39,ALE,Alpine Airport  Alpine
40,ALN,Alton Airport  Alton
41,LTS,Altus AFB Airport  Altus
42,AQY,Alyeska Airport  Alyeska
43,ABL,Ambler Airport  Ambler
44,AHT,Amchitka Airport  Amchitka
45,AHC,Amedee AAF Airport  Herlong
46,AMW,Ames Airport  Ames
47,AOS,Amook Airport  Amook
48,OTS,Anacortes Airport  Anacortes
49,AKP,Anaktuvuk Airport  Anaktuvuk
50,AND,Anderson Airport  Anderson
51,AAP,"Andrau Airpark Airport  Houston, TX"
52,ADW,Andrews AFB Airport  Camp Springs
53,ADR,Andrews Airport  Andrews
54,NSF,Andrews NAF Airport  Camp Springs
55,AXX,Angel Fire Airport  Angel Fire
56,ANI,Aniak Airport  Aniak
57,AMK,Animas Airpark Airport  Durango
58,AIB,Anita Bay Airport  Anita Bay
59,ANN,Annette Island Airport  Annette Island
60,ANB,Anniston Metropolitan Airport  Anniston
61,ANY,Anthony Airport  Anthony
62,ATE,Antlers Airport  Antlers
63,ACB,Antrim County Airport  Bellaire
64,ANV,Anvik Airport  Anvik
65,CIB,Ap In The Sky Airport  Catalina Island
66,APV,Apple Valley Airport  Apple Valley
67,RKP,Aransas County Airport  Rockport
68,MGI,"Aransas National Wildlife Refuge Airport  Matagorda Island, TX"
69,APA,Arapahoe Co Airport  Denver
70,ACV,Arcata Airport  Arcata
71,ARC,Arctic Village Airport  Arctic Village
72,ADM,Ardmore Municipal Arpt Airport  Ardmore
73,WLD,Arkansas City Airport  Winfield
74,TUH,Arnold AFS Airport  Tullahoma
75,ATS,Artesia Airport  Artesia
76,ARX,"Asbury Park Airport  Neptune, NJ"
77,AVL,Asheville Regional Airport  Fletcher
78,ASX,Ashland Airport  Ashland
79,ASY,Ashley Airport  Ashley
80,JFN,Ashtabula Airport  Jefferson
81,ASE,Aspen Airport  Aspen
82,AST,Astoria Airport  Astoria
83,AHN,Athens Airport  Athens
84,AKB,Atka Airport  Atka
85,NCQ,"Atlanta Nas Airport  Marietta, GA"
86,ACY,Atlantic City International Airport  Atlantic City
87,ATT,Atmautluak Airport  Atmautluak
88,ATK,Atqasuk Airport  Atqasuk
89,OSX,Attala County Airport  Kosciusko
90,AUN,Auburn Airport  Auburn
91,LEW,Auburn Airport  Lewiston
92,AUO,Auburn-Opelika Airport  Auburn
93,AUG,Augusta Airport  Augusta
94,AUM,Austin Airport  Austin
95,ASQ,Austin Airport  Austin
96,AUS,Austin-bergstrom International Airport  Austin
97,GRB,Austin-straubel Field Airport  Green Bay
98,NRC,Aux Field Airport  Crows Landing
99,SXC,Avalo Vor/WP Airport  Catalina Island
100,AVX,Avalon Bay Airport  Catalina Island
101,BCJ,Baca Grande Airport  Baca Grande
102,AIY,Bader Field Airport  Atlantic City
103,BGT,"Bagdad Airport  Bagdad, AZ"
104,BAR,Baker Aaf Airport  Baker Island
105,BKE,Baker Airport  Baker
106,MLJ,Baldwin County Airport  Milledgeville
107,GBO,Baltimore Greenbelt T Airport  Baltimore
108,BWI,"Baltimore/Washington International Thurgood Marshall Airport  Baltimore, MD"
109,BGR,Bangor International Airport  Bangor
110,BNG,Banning Airport  Banning
111,BHB,Bar Harbor Airport  Bar Harbor
112,NAX,Barbers Point Airport  Barbers Point
113,NHX,Barin Olf Osn Airport  Foley
114,BKH,Barking Sands PMRF Airport  Kekaha
115,PAH,"Barkley Regional Airport  Paducah, KY"
116,BNH,Barnes Airport  Hartford
117,HYA,Barnstable Airport  Hyannis
118,BNL,"Barnwell Regional Airport  Barnwell, SC"
119,DAG,Barstow-Daggett Airport  Daggett
120,BTI,Barter Island Airport  Barter Island
